Date,Open,High,Low,Close
11/18/2022,"1,12,255.54","1,14,322.31","1,07,245.13","1,08,870.17"
11-11-2022,"1,18,148.47","1,18,239.86","1,08,516.46","1,12,253.49"
11-04-2022,"1,14,533.14","1,20,039.37","1,12,113.34","1,18,155.46"
10/28/2022,"1,17,170.19","1,20,751.55","1,12,577.15","1,14,539.05"
10/21/2022,"1,12,106.80","1,20,751.55","1,12,090.36","1,19,928.79"
10/14/2022,"1,16,377.15","1,16,840.61","1,11,631.40","1,12,072.34"
10-07-2022,"1,10,047.56","1,18,382.31","1,10,047.56","1,16,375.25"
09/30/2022,"1,11,712.70","1,11,712.70","1,06,243.52","1,10,036.79"
09/23/2022,"1,09,282.60","1,14,392.42","1,08,507.76","1,11,716.00"
09/16/2022,"1,12,307.24","1,14,159.53","1,08,488.90","1,09,280.37"
09-09-2022,"1,10,867.93","1,12,671.39","1,08,618.97","1,12,300.41"
09-02-2022,"1,12,295.87","1,13,221.54","1,08,217.40","1,10,864.24"
08/26/2022,"1,11,486.78","1,14,156.20","1,09,858.38","1,12,298.86"
08/19/2022,"1,12,767.24","1,14,375.45","1,11,066.52","1,11,496.21"
08-12-2022,"1,06,473.03","1,12,764.26","1,06,472.87","1,12,764.26"
08-05-2022,"1,03,164.69","1,07,176.06","1,01,693.98","1,06,471.92"
07/29/2022,"98,926.28","1,03,989.47","98,925.16","1,03,164.69"
07/22/2022,"96,552.61","99,724.23","96,552.61","98,924.82"
07/15/2022,"1,00,282.06","1,00,282.06","95,266.94","96,551.00"
07-08-2022,"98,951.96","1,01,576.67","96,499.42","1,00,288.94"
07-01-2022,"98,672.99","1,02,237.09","97,231.18","98,953.90"
06/24/2022,"99,824.25","1,01,068.71","97,775.07","98,672.26"
06/17/2022,"1,05,476.39","1,05,478.15","98,401.73","99,824.94"
06-10-2022,"1,11,102.32","1,11,934.78","1,04,647.59","1,05,481.23"
06-03-2022,"1,11,943.81","1,12,708.96","1,10,655.46","1,11,102.32"
05/27/2022,"1,08,499.83","1,12,440.80","1,08,399.23","1,11,941.68"
05/20/2022,"1,07,639.35","1,09,773.99","1,05,760.05","1,08,487.88"
05/13/2022,"1,05,109.06","1,07,772.82","1,02,386.18","1,06,924.18"
05-06-2022,"1,07,876.15","1,08,381.76","1,03,923.27","1,05,134.73"
04/29/2022,"1,11,076.85","1,11,819.21","1,07,876.16","1,07,876.16"
04/22/2022,"1,16,181.61","1,16,190.97","1,10,590.55","1,11,077.51"
04/14/2022,"1,18,320.39","1,18,615.38","1,15,623.52","1,16,181.61"
04-08-2022,"1,21,569.05","1,21,628.22","1,16,790.60","1,18,322.26"
