Date,Open,High,Low,Close,,
09-06-2023,"1,17,331.30","1,17,970.71","1,15,983.53","1,15,985.34",,
09-05-2023,"1,17,776.37","1,17,956.71","1,16,637.02","1,17,331.30",,
09-04-2023,"1,18,201.31","1,18,576.42","1,17,589.94","1,17,776.62",,
09-01-2023,"1,15,743.80","1,17,990.61","1,15,743.80","1,17,892.96",,
08-31-2023,"1,17,537.42","1,17,636.62","1,15,741.81","1,15,741.81",,
08-30-2023,"1,18,404.16","1,18,840.80","1,17,470.87","1,17,535.10",,
08-29-2023,"1,17,123.70","1,18,493.13","1,17,123.70","1,18,403.61",,
08-28-2023,"1,15,838.36","1,17,252.99","1,15,835.71","1,17,120.98",,
08-25-2023,"1,17,025.02","1,17,252.11","1,15,396.62","1,15,837.20",,
08-24-2023,"1,18,135.08","1,18,135.57","1,16,847.66","1,17,025.60",,
08-23-2023,"1,16,159.67","1,18,134.59","1,16,158.89","1,18,134.59",,
08-22-2023,"1,14,433.39","1,16,285.57","1,14,433.39","1,16,156.01",,
08-21-2023,"1,15,409.37","1,15,424.65","1,14,066.51","1,14,429.35",,
08-18-2023,"1,14,973.40","1,15,728.91","1,14,423.28","1,15,408.52",,
08-17-2023,"1,15,592.14","1,16,610.49","1,14,859.21","1,14,982.30",,
08-16-2023,"1,16,171.26","1,17,337.65","1,15,533.58","1,15,591.52",,
08-15-2023,"1,16,808.91","1,17,697.25","1,16,033.15","1,16,171.42",,
08-14-2023,"1,18,066.52","1,18,081.90","1,16,529.96","1,16,809.55",,
08-11-2023,"1,18,349.60","1,19,053.92","1,17,415.21","1,18,065.14",,
08-10-2023,"1,18,412.19","1,19,438.15","1,18,112.68","1,18,349.60",,
08-09-2023,"1,19,089.61","1,19,089.61","1,17,901.04","1,18,408.77",,
08-08-2023,"1,19,378.14","1,19,552.69","1,17,491.95","1,19,090.24",,
08-07-2023,"1,19,509.35","1,20,103.93","1,18,893.90","1,19,379.50",,
08-04-2023,"1,20,585.58","1,21,442.02","1,19,215.02","1,19,507.68",,
08-03-2023,"1,20,859.46","1,22,619.14","1,20,365.38","1,20,585.77",,
08-02-2023,"1,21,249.27","1,21,251.53","1,19,797.92","1,20,858.72",,
08-01-2023,"1,21,944.64","1,21,944.64","1,20,153.62","1,21,248.39",,
07-31-2023,"1,20,187.87","1,22,148.81","1,20,187.87","1,21,942.98",,
07-28-2023,"1,20,002.29","1,20,660.21","1,19,706.26","1,20,187.11",,
07-27-2023,"1,22,560.38","1,22,598.97","1,19,824.52","1,19,989.64",,
07-26-2023,"1,22,002.76","1,22,746.72","1,21,370.43","1,22,560.38",,
07-25-2023,"1,21,343.58","1,23,009.90","1,21,343.58","1,22,007.77",,
07-24-2023,"1,20,219.62","1,21,771.71","1,20,099.34","1,21,341.69",,
07-21-2023,"1,18,090.40","1,20,372.77","1,18,085.75","1,20,216.77",,
07-20-2023,"1,17,558.37","1,18,290.29","1,17,484.27","1,18,082.90",,
07-19-2023,"1,17,841.92","1,18,011.46","1,16,659.55","1,17,552.07",,
07-18-2023,"1,18,217.99","1,18,731.86","1,17,324.10","1,17,841.19",,
07-17-2023,"1,17,710.54","1,18,302.34","1,16,591.12","1,18,219.46",,
07-14-2023,"1,19,268.24","1,19,328.65","1,17,525.54","1,17,710.54",,
07-13-2023,"1,17,670.79","1,19,739.09","1,17,668.13","1,19,263.89",,
07-12-2023,"1,17,557.13","1,19,156.48","1,17,557.13","1,17,666.49",,
07-11-2023,"1,17,941.81","1,17,941.81","1,15,703.93","1,17,219.95",,
07-10-2023,"1,18,897.42","1,18,897.42","1,17,814.49","1,17,942.44",,
07-07-2023,"1,17,426.95","1,19,548.71","1,17,426.95","1,18,897.99",,
07-06-2023,"1,19,548.02","1,19,548.02","1,17,095.88","1,17,425.70",,
07-05-2023,"1,19,072.03","1,20,199.87","1,18,688.39","1,19,549.21",,
07-04-2023,"1,19,672.95","1,19,677.86","1,18,830.47","1,19,076.37",,
07-03-2023,"1,18,092.02","1,19,877.04","1,18,092.02","1,19,672.78",,
06-30-2023,"1,18,387.53","1,19,447.25","1,18,087.00","1,18,087.00",,
06-29-2023,"1,16,682.51","1,18,622.75","1,16,682.51","1,18,382.65",,
06-28-2023,"1,17,524.21","1,17,936.71","1,16,559.70","1,16,681.32",,
06-27-2023,"1,18,246.17","1,19,211.58","1,16,561.04","1,17,522.87",,
06-26-2023,"1,18,977.38","1,19,147.99","1,17,490.80","1,18,242.95",,
06-23-2023,"1,18,959.01","1,19,386.09","1,18,178.09","1,18,977.10",,
06-22-2023,"1,20,419.87","1,20,419.87","1,18,018.03","1,18,934.20",,
06-21-2023,"1,19,623.10","1,20,518.52","1,19,332.00","1,20,420.26",,
