Date,Open,High,Low,Close,Volume
10/23/2023,"97.91","98.08","95.06","95.34","576,939"
10/20/2023,"97.86","98.40","97.10","97.82","601,632"
10/19/2023,"100.45","100.89","97.65","97.75","580,509"
10/18/2023,"104.34","105.52","100.41","100.48","576,935"
10/17/2023,"103.90","105.77","103.90","104.99","500,716"
10/16/2023,"104.73","105.54","103.53","104.17","268,341"
10/13/2023,"105.43","105.55","103.68","104.04","383,629"
10/12/2023,"104.24","105.34","103.64","105.01","637,712"
10/11/2023,"101.66","103.23","101.52","103.20","505,218"
10/10/2023,"101.87","102.63","100.77","100.87","439,552"
10/09/2023,"100.00","101.91","99.71","101.32","653,112"
10/06/2023,"98.40","100.58","98.40","99.72","426,346"
10/05/2023,"98.94","99.89","98.50","98.60","397,689"
10/04/2023,"97.05","99.76","97.05","99.45","492,238"
10/03/2023,"97.46","98.04","96.35","96.76","344,151"
10/02/2023,"98.28","98.72","96.89","97.57","385,021"
09/29/2023,"98.71","99.40","97.82","98.15","542,887"
09/28/2023,"97.26","98.97","97.10","98.25","366,359"
09/27/2023,"95.81","97.49","95.81","97.07","422,919"
09/26/2023,"95.11","96.14","95.02","95.41","314,886"
09/25/2023,"94.91","96.05","94.91","95.50","219,877"
09/22/2023,"94.54","95.62","94.54","95.09","228,899"
09/21/2023,"95.08","95.70","94.50","94.68","209,454"
09/20/2023,"96.20","96.64","95.06","95.24","281,422"
09/19/2023,"96.42","96.59","95.58","95.76","277,930"
09/18/2023,"96.60","97.57","96.01","96.34","441,391"
09/15/2023,"95.55","96.42","94.97","96.32","824,456"
09/14/2023,"95.79","96.79","95.53","95.91","368,040"
09/13/2023,"96.67","96.69","93.97","94.87","433,635"
09/12/2023,"95.92","97.17","95.92","96.69","310,486"
09/11/2023,"96.22","96.49","95.39","96.37","274,367"
09/08/2023,"95.81","96.62","95.56","95.93","338,151"
09/07/2023,"95.20","95.97","94.20","95.85","625,350"
09/06/2023,"98.02","98.02","94.79","95.66","1,111,270"
09/05/2023,"101.01","101.05","96.38","98.02","786,251"
09/01/2023,"102.77","102.77","101.59","101.68","393,990"
08/31/2023,"102.44","102.64","101.50","102.06","597,202"
08/30/2023,"102.94","103.22","102.16","102.19","277,176"
08/29/2023,"101.30","102.84","100.84","102.52","261,081"
08/28/2023,"101.61","102.77","101.58","101.68","228,767"
08/25/2023,"101.00","101.71","100.55","101.35","291,618"
08/24/2023,"100.45","102.15","100.45","100.77","357,953"
08/23/2023,"100.05","100.82","99.62","100.64","304,738"
08/22/2023,"100.53","100.66","99.44","99.75","265,831"
08/21/2023,"100.75","101.49","99.01","100.30","373,811"
08/18/2023,"99.78","101.10","99.78","100.78","263,805"
